BPM	Match rate
60	5.680515232282587
61	6.981515616845191
62	1.5391766542871461
63	2.688075251330386
64	6.60843382486168
65	9.056899316423
66	5.22513022636891
67	10.583024812180122
68	7.162316891211842
69	1.12465875784093
70	6.476561686140522
71	11.52799194627373
72	4.424442063178108
73	5.935486450283777
74	34.20693048812028
75	10.505852985574334
76	5.716405526624746
77	3.854828557920819
78	7.223264759887187
79	4.495509991303693
80	9.741849891429105
81	3.6475401566794967
82	3.5029351012596934
83	16.63198753941204
84	7.999743484494588
85	8.76237344026638
86	13.857821910787422
87	7.898422239873211
88	4.433424278504971
89	0.9454436422956937
90	12.222622825542935
91	13.959067028578053
92	12.444351604213432
93	14.245084087576735
94	6.658422631105956
95	2.052611631749551
96	7.95358339828032
97	6.936329306398457
98	8.068642174932734
99	12.619111516958913
100	3.813183143915632
101	10.08333111962565
102	9.030464329187717
103	7.917064652143288
104	4.097041826448109
105	6.856936071161648
106	1.7847481849915348
107	7.381334348151107
108	31.45279557004619
109	8.651713084421996
110	7.091684432159021
111	19.91932386969386
112	7.188209621101042
113	4.111317114539708
114	5.144742664678788
115	12.424958992746138
116	4.301102766447969
117	1.9604731305192218
118	3.5526287466112727
119	5.179490863640772
120	4.876663063526584
121	3.6026242824629118
122	3.753678366496301
123	4.806745316884436
124	6.469548120248059
125	4.551901768450976
126	3.935601628899821
127	17.760721340212093
128	1.7591616164912651
129	3.5972323434513123
130	7.463948363855378
131	7.123377492815733
132	4.025364453444103
133	4.207152772373281
134	2.570726997395838
135	1.5113512578342438
136	1.8113532042236609
137	13.735330961554926
138	3.6631627185610913
139	4.995666045117219
140	10.511294307338318
141	6.00055971087164
142	6.998401203637922
143	17.112404244451366
144	27.993881233799115
145	13.073317016685372
146	35.04520072077923
147	17.171494202662842
148	11.962049467246883
149	6.279424187247588
150	5.195880677454398
151	5.449051131838539
152	10.198579761452354
153	2.74104294336179
154	7.370490594884432
155	2.3222128788549976
156	2.8427887442538773
157	10.00417786551175
158	5.197936772291473
159	14.481574039659327
160	6.079743541830919
161	4.565615498473581
162	3.584959376549766
163	6.7519135099230425
164	9.832629488168697
165	10.90487690430765
166	8.054294035859092
167	5.461664019019514
168	5.791720679491254
169	0.9047276998357602
170	2.9590503792878793
171	13.250112063397951
172	5.026326190310665
173	10.175729307873047
174	7.81315045912768
175	1.6839598746351652
176	3.2831235399623533
177	6.630675713222727
178	5.221232661850693
179	19.42030935287156
180	9.425933671677567
181	25.83693292146646
182	78.21400085630191
183	34.19430181931266
184	5.152423658782786
185	17.88866963494043
186	15.197633964080142
187	4.985992461905857
188	7.934779735054121
189	10.507966976156613
190	9.508554450547448
191	4.920244290108602
192	3.3031317933802136
193	4.840219895213229
194	13.713751453584846
195	9.875503989984416
196	10.24869055669853
197	9.927442071722359
198	5.303202502850505
199	6.11260637400428
200	8.32757047662096
201	5.021349494326901
202	8.893177756544357
203	7.28226852267641
204	0.1262149442651378
205	11.601244137303253
206	9.847974568925727
207	7.064030386465101
208	0.9166062321527021
209	4.732715856282747
210	0.8409278941750435
211	4.531335481933747
212	9.872569519609842
213	5.329630729136453
214	5.152358031280755
215	4.118568220580086
216	6.001220282964394
217	6.388758431365437
218	38.004084601078866
219	12.0918880164305
220	15.642475262929715
221	6.25802312274894
222	2.954986448720725
223	4.221591235885241
224	6.865342112310116
225	11.59500051605936
226	6.774674339244007
227	17.816235035437206
228	6.789518181397151
229	3.2786362554280384
230	8.26590330974841
231	2.6201151473245647
232	9.639568071277003
233	8.433433657787951
234	12.324155276870059
235	10.096153138794325
236	4.209180484741327
237	19.872698894493297
238	6.592945865064299
239	8.083586532236495
240	2.40832073778702
